#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
1,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,4/26/2019,182,84,61,-4,66,3:13,3,86,4924
2,Delicate,Taylor Swift,11/10/2017,95,40,75,-10,5,3:52,22,18,4466
3,Blank Space,Taylor Swift,10/27/2014,96,68,75,-5,58,3:52,9,67,9910
4,I Knew You Were Trouble.,Taylor Swift,10/22/2012,154,47,60,-7,65,3:38,1,64,6877
5,Shake It Off,Taylor Swift,10/27/2014,160,79,65,-5,94,3:39,6,67,5832
6,Love Story,Taylor Swift,11/11/2008,119,74,62,-4,30,3:55,17,68,4812
7,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2/10/2017,118,45,74,-8,10,4:06,6,71,7827
8,We Are Never Ever Getting Back Together,Taylor Swift,10/22/2012,86,68,62,-6,78,3:12,1,62,1289
9,Wildest Dreams,Taylor Swift,10/27/2014,140,66,55,-7,47,3:40,7,65,1660
10,Look What You Made Me Do,Taylor Swift,11/10/2017,128,71,77,-6,51,3:32,20,16,9755
11,You Belong With Me,Taylor Swift,11/11/2008,130,78,69,-4,44,3:51,16,65,6619
12,22,Taylor Swift,10/22/2012,104,73,66,-7,68,3:50,0,57,143
13,Gorgeous,Taylor Swift,11/10/2017,92,54,80,-7,45,3:30,7,13,7149
14,Bad Blood,Taylor Swift,10/27/2014,170,80,65,-6,30,3:32,9,63,740
15,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,10/24/2006,100,43,62,-7,31,3:23,31,56,7322
16,End Game,Taylor Swift,11/10/2017,159,59,65,-6,15,4:05,1,13,8460
17,Red,Taylor Swift,10/22/2012,125,90,61,-4,61,3:41,8,56,9930
18,Back To December,Taylor Swift,10/25/2010,142,67,53,-5,29,4:53,12,59,1858
19,Dancing With Our Hands Tied,Taylor Swift,11/10/2017,160,69,62,-7,28,3:32,6,10,3984
20,Call It What You Want,Taylor Swift,11/10/2017,164,50,60,-10,25,3:24,19,11,4386
21,I Did Something Bad,Taylor Swift,11/10/2017,83,60,70,-6,31,3:58,7,10,3915
22,Getaway Car,Taylor Swift,11/10/2017,172,69,56,-7,35,3:54,0,10,1078
23,Our Song,Taylor Swift,10/24/2006,178,69,54,-5,56,3:21,11,64,2749
24,Everything Has Changed,Taylor Swift,10/22/2012,80,47,63,-7,42,4:04,35,58,4545
25,Highway Don't Care,Tim McGraw,1/1/2013,158,79,47,-5,50,4:37,2,65,4286
26,Mean,Taylor Swift,10/25/2010,164,76,57,-4,79,3:58,45,61,2954
27,Fearless,Taylor Swift,11/11/2008,100,71,59,-4,48,4:02,4,58,3382
28,Tim McGraw,Taylor Swift,10/24/2006,152,51,55,-6,39,3:52,57,59,2845
29,Style,Taylor Swift,10/27/2014,95,79,60,-6,46,3:51,0,62,6943
30,Out Of The Woods,Taylor Swift,10/27/2014,92,84,55,-7,34,3:56,0,57,3672
