#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
1,Treat Me Like Fire,LION BABE,1/22/2016,92,66,67,-8,36,4:11,14,56,9901
2,Hot Love,LEISURE,10/21/2016,109,47,84,-9,49,3:10,31,2,6745
3,Prosecco,Jacob Banks,11/2/2018,121,62,71,-7,28,3:29,6,48,1317
4,Spoil My Night (feat. Swae Lee),Post Malone,4/27/2018,161,68,67,-3,26,3:15,34,75,7923
5,Fuego,Manu Crooks,4/27/2018,129,59,82,-9,86,3:38,8,55,6983
6,Boo'd Up,Ella Mai,2/22/2017,82,78,56,-5,24,4:16,9,76,9703
7,Love Lies (with Normani),Khalid,2/14/2018,144,65,71,-6,34,3:22,10,81,9284
8,king,slenderbodies,12/12/2018,100,67,80,-4,69,3:11,76,12,9422
9,Electric Feel,MGMT,12/14/2007,103,81,76,-4,56,3:50,7,76,5267
10,Banana Clip,Miguel,12/1/2017,85,71,64,-5,61,3:22,10,64,6700
11,Sky Walker (feat. Travis Scott),Miguel,12/1/2017,146,51,67,-11,18,4:19,17,75,8924
12,With U,Jay Prince,5/25/2018,134,49,66,-7,43,4:15,1,51,7561
13,Smile,Leven Kali,5/25/2017,105,55,77,-9,64,3:38,19,62,8447
14,Laces,Shalom Dubas,11/26/2017,89,41,76,-15,52,2:54,43,30,5459
15,Talk,Khalid,2/7/2019,136,40,90,-8,34,3:17,5,87,7128
16,My Bad,Khalid,3/7/2019,85,57,65,-9,39,2:46,54,80,6549
17,Deja Vu,Post Malone,12/9/2016,134,69,62,-7,33,3:54,9,72,6405
18,Need Me Now (feat. Guapdad 4000),Higher Brothers,2/22/2019,155,87,71,-4,90,4:10,32,42,7801
19,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,12/14/2018,90,48,76,-6,91,2:38,56,94,1612
20,Mimosa,Benji.,9/14/2017,130,60,91,-7,74,4:13,23,21,5102
21,Tamale,Benji.,10/16/2018,125,71,86,-5,76,4:15,1,15,8602
22,CASH MANIAC | CAZH MAN1AC [FEAT. NYYJERYA],Denzel Curry,7/27/2018,119,69,54,-7,40,3:19,9,57,9337
23,BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK],Denzel Curry,7/27/2018,100,73,55,-8,69,3:31,19,67,4225
24,Hungry Hippo,Tierra Whack,5/30/2018,137,61,89,-6,78,1:00,2,63,3070
25,Come Through and Chill,Miguel,12/1/2017,82,65,46,-9,59,5:22,16,69,8620
26,Annie,Rejjie Snow,2/16/2018,124,60,95,-5,45,4:04,0,38,652
27,Peach Jam,88rising,7/20/2018,90,67,86,-7,62,2:42,2,63,4996
28,Tints (feat. Kendrick Lamar),Anderson .Paak,11/16/2018,109,83,81,-7,70,4:28,9,64,180
29,Reason,Hablot Brown,7/29/2018,90,31,80,-8,55,3:20,16,54,7433
30,Superpowers (with GoldLink),Col3trane,3/26/2019,85,37,82,-10,40,3:02,47,60,8991
31,Reminder,The Weeknd,11/25/2016,160,51,71,-7,39,3:39,14,72,950
32,Wala Cam,Chance the Rapper,7/17/2018,85,81,85,-4,27,3:36,3,58,6375
33,Summertime Magic,Childish Gambino,7/11/2018,100,58,76,-7,13,3:34,1,75,8029
34,All Night (feat. Knox Fortune),Chance the Rapper,5/27/2016,112,78,70,-6,39,2:22,4,70,3060
35,FlEXiBle (feat. Chris Brown & Lil Baby),Tory Lanez,10/26/2018,160,82,69,-5,87,3:19,8,65,2943
36,Shot Clock,Ella Mai,10/12/2018,95,51,51,-6,43,3:22,65,76,788
37,Baby,Bishop Briggs,8/17/2018,140,59,66,-6,21,3:14,0,57,9786
